url_id,url,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,fog_index,avg_words_per_sentence,complex_word_count,syllable_per_word,personal_pronouns,average_word_length
url030,https://www.cnn.com/2024/07/26/politics/kfile-kamala-harris-praised-defund-the-police-movement-in-june-2020/index.html,44,26,0.2571428534693878,0.09749303607591499,718.0,0.9958217270194986,287.5983286908078,718.0,715,6.81058495821727,21,6.81058495821727
url031,https://www.cnn.com/2024/07/26/politics/kfile-kamala-harris-praised-defund-the-police-movement-in-june-2020/index.html,44,26,0.2571428534693878,0.09749303607591499,718.0,0.9958217270194986,287.5983286908078,718.0,715,6.81058495821727,21,6.81058495821727
url032,https://www.cnn.com/2024/07/23/politics/kfile-jd-vance-believed-donald-trump-sexual-assault-allegations-2016/index.html,27,22,0.10204081424406503,0.17689530622059457,277.0,0.9783393501805054,111.19133574007222,277.0,271,6.494584837545126,6,6.494584837545126
url033,https://www.cnn.com/2024/07/23/politics/kfile-jd-vance-believed-donald-trump-sexual-assault-allegations-2016/index.html,27,22,0.10204081424406503,0.17689530622059457,277.0,0.9783393501805054,111.19133574007222,277.0,271,6.494584837545126,6,6.494584837545126
url034,https://www.cnn.com/2024/07/03/politics/lbj-biden-what-matters/index.html,17,26,-0.20930232071389954,0.09368191700722894,459.0,0.9956427015250545,183.99825708061005,459.0,457,6.668845315904139,15,6.668845315904139
url035,https://www.cnn.com/2024/07/03/politics/lbj-biden-what-matters/index.html,17,26,-0.20930232071389954,0.09368191700722894,459.0,0.9956427015250545,183.99825708061005,459.0,457,6.668845315904139,15,6.668845315904139
url036,https://www.cnn.com/2024/07/09/politics/senate-races-biden-analysis/index.html,70,66,0.02941176448961938,0.10469591985781683,1299.0,0.9969207082371054,519.9987682832949,1299.0,1295,6.857582755966128,10,6.857582755966128
url037,https://www.cnn.com/2024/07/09/politics/senate-races-biden-analysis/index.html,70,66,0.02941176448961938,0.10469591985781683,1299.0,0.9969207082371054,519.9987682832949,1299.0,1295,6.857582755966128,10,6.857582755966128
url038,https://www.cnn.com/2024/07/26/politics/kamala-harris-election-campaign/index.html,83,48,0.2671755704795758,0.10925771467117787,1199.0,0.9974979149291076,479.9989991659716,1199.0,1196,6.529608006672227,33,6.529608006672227
url039,https://www.cnn.com/2024/07/25/politics/fbi-examining-evidence-trump-assassination-attempt/index.html,15,20,-0.14285713877551032,0.1291512910363421,271.0,0.988929889298893,108.79557195571957,271.0,268,6.885608856088561,15,6.885608856088561
url040,https://www.cnn.com/2024/07/25/politics/kamala-harris-donald-trump-presidential-debate/index.html,18,7,0.4399999824000007,0.0999999996,250.0,0.992,100.3968,250.0,248,6.468,13,6.468
url041,https://www.cnn.com/2024/07/25/politics/biden-netanyahu-meeting/index.html,30,43,-0.17808218934133987,0.09986320095777948,731.0,0.9958960328317373,292.7983584131327,731.0,728,6.801641586867305,24,6.801641586867305
url042,https://www.cnn.com/2024/07/25/politics/kamala-harris-israel-policy/index.html,41,57,-0.1632653044564765,0.11036036023608067,888.0,0.990990990990991,355.5963963963964,888.0,880,6.9042792792792795,13,6.9042792792792795
url043,https://www.cnn.com/2024/07/25/politics/engoron-recusal-response-trump-civil-case/index.html,10,4,0.42857139795918586,0.102189780275987,137.0,1.0,55.2,137.0,137,6.5036496350364965,16,6.5036496350364965
url044,https://www.cnn.com/2024/07/25/politics/kagan-supreme-court-ethics-sacramento-conference/index.html,61,52,0.07964601699428303,0.1343638523967136,841.0,0.9940546967895363,336.79762187871586,841.0,836,6.689655172413793,39,6.689655172413793
url045,https://www.cnn.com/2024/07/24/politics/fact-check-netanyahu-congress-address/index.html,24,61,-0.4352941125259516,0.13302034407978036,639.0,1.0,256.0,639.0,639,6.766823161189358,9,6.766823161189358
url046,https://www.cnn.com/2024/07/24/politics/norad-russian-chinese-bombers-alaska/index.html,10,12,-0.09090908677685969,0.055696202390642525,395.0,0.9949367088607595,158.3979746835443,395.0,393,6.951898734177215,25,6.951898734177215
url047,https://www.cnn.com/2024/07/25/politics/nikki-haley-trump-harris-interview/index.html,44,31,0.17333333102222226,0.14705882324106112,510.0,0.984313725490196,204.3937254901961,510.0,502,6.215686274509804,62,6.215686274509804
url048,https://www.cnn.com/2024/07/25/politics/prosecutors-trump-hush-money/index.html,25,21,0.08695651984877131,0.15333333282222222,300.0,0.9933333333333333,120.39733333333334,300.0,298,7.056666666666667,1,7.056666666666667
url049,https://www.cnn.com/2024/07/25/politics/jennifer-wexton-ai-voice-house-floor/index.html,4,1,0.599999880000024,0.05263157839335181,95.0,0.968421052631579,38.387368421052635,95.0,92,6.536842105263158,10,6.536842105263158
url050,https://www.cnn.com/2024/07/25/politics/us-indicts-north-korean-hacker/index.html,5,8,-0.23076921301775286,0.06310679581016118,206.0,1.0,82.80000000000001,206.0,206,7.165048543689321,9,7.165048543689321
url051,https://www.cnn.com/2024/07/25/politics/bill-barr-2020-election-fraud/index.html,16,25,-0.21951218976799539,0.10379746809165198,395.0,0.9974683544303797,158.39898734177217,395.0,394,7.296202531645569,5,7.296202531645569
url052,https://www.cnn.com/2024/07/25/politics/barack-obama-kamala-harris-endorsement/index.html,7,3,0.39999996000000404,0.05714285681632653,175.0,0.9942857142857143,70.39771428571429,175.0,174,6.8914285714285715,0,6.8914285714285715
url053,https://www.cnn.com/2024/07/25/politics/jd-vance-10-days-running-mate/index.html,52,36,0.18181817975206616,0.11796246632980903,746.0,0.9946380697050938,298.79785522788205,746.0,742,6.485254691689008,20,6.485254691689008
url054,https://www.cnn.com/2024/07/25/politics/nevada-man-threats-bragg-merchan/index.html,5,11,-0.37499997656250145,0.12121212029384758,132.0,0.9924242424242424,53.1969696969697,132.0,131,6.840909090909091,0,6.840909090909091
url055,https://www.cnn.com/2024/07/24/politics/kerstin-emhoff-defends-kamala-harris-sexism/index.html,11,18,-0.24137930202140337,0.14356435572492893,202.0,0.995049504950495,81.1980198019802,202.0,201,6.737623762376238,4,6.737623762376238
url056,https://www.cnn.com/2024/07/25/politics/hunter-biden-lawyers-tax-indictment/index.html,6,18,-0.4999999791666675,0.11059907783134065,217.0,1.0,87.2,217.0,217,6.686635944700461,2,6.686635944700461
url057,https://www.cnn.com/2024/07/24/politics/biden-oval-office-address-2024/index.html,39,17,0.3928571358418369,0.10486891366129417,534.0,0.99812734082397,213.99925093632962,534.0,533,6.597378277153558,15,6.597378277153558
